HUMAN DATE TIME,NODE TIME(SET),NODE TIME(SET),PITCH,LAT,LON,STRUCTURE HEIGHT,MODULE LENGTH,TIMEZONE,DEGREE DELTA,PWM DUTYCYCLE(%),VOLTAGE LIMIT,CURRENT LIMIT,NIGHT STOWINGANGLE,NUMBER OF ROWS,WIND,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED
Wed Sep 6 23:59:31 2017,22960,16011,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16011,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,16011,17800,10,207,2700,17790,22959,62919,0,0,0,187,228,22960,16011,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,16011,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,16011,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Wed Sep 6 23:59:31 2017,22960,16011,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16011,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,16011,17800,10,207,2700,17790,22959,62919,0,0,0,187,228,22960,16011,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,16011,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,16011,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:03:31 2017,22960,16251,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16251,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,16251,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,16251,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,16251,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,16251,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:03:31 2017,22960,16251,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16251,17800,40,168,2700,17760,22959,62922,0,0,0,146,199,22960,16251,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,16251,17800,40,134,2700,17760,22959,62934,0,0,0,5,169,22960,16251,17800,30,114,2700,17770,22959,62935,0,0,0,87,158,22960,16251,17800,20,207,2700,17780,22959,62953,0,0,0,181,246,
Thu Sep 7 00:07:32 2017,22960,16492,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16492,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,16492,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,16492,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16492,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16492,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:07:32 2017,22960,16492,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16492,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,16492,17800,30,207,2700,17770,22959,62919,0,0,0,187,228,22960,16492,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16492,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16492,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:11:33 2017,22960,16733,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16733,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,16733,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,16733,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16733,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16733,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:11:33 2017,22960,16733,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16733,17800,20,168,2700,17780,22959,62922,0,0,0,146,199,22960,16733,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,16733,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16733,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16733,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:15:34 2017,22960,16974,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16974,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,16974,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,16974,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16974,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16974,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
Thu Sep 7 00:15:34 2017,22960,16974,430,2795,7299,150,200,550,200,50,2300,780,17800,5,0,22960,16974,17800,30,168,2700,17770,22959,62922,0,0,0,146,199,22960,16974,17800,20,207,2700,17780,22959,62919,0,0,0,187,228,22960,16974,17800,30,134,2700,17770,22959,62934,0,0,0,5,169,22960,16974,17800,40,114,2700,17760,22959,62935,0,0,0,87,158,22960,16974,17800,10,207,2700,17790,22959,62953,0,0,0,181,246,
