HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Wed Sep 6 23:59:31 2017,168,207,134,114,207
Wed Sep 6 23:59:31 2017,168,207,134,114,207
Thu Sep 7 00:03:31 2017,168,207,134,114,207
Thu Sep 7 00:03:31 2017,168,207,134,114,207
Thu Sep 7 00:07:32 2017,168,207,134,114,207
Thu Sep 7 00:07:32 2017,168,207,134,114,207
Thu Sep 7 00:11:33 2017,168,207,134,114,207
Thu Sep 7 00:11:33 2017,168,207,134,114,207
Thu Sep 7 00:15:34 2017,168,207,134,114,207
Thu Sep 7 00:15:34 2017,168,207,134,114,207
Thu Sep 7 00:19:34 2017,168,207,134,114,207
Thu Sep 7 00:19:34 2017,168,207,134,114,207
Thu Sep 7 00:23:35 2017,168,207,134,114,207
Thu Sep 7 00:23:35 2017,168,207,134,114,207
Thu Sep 7 00:27:36 2017,168,207,134,114,207
Thu Sep 7 00:27:36 2017,168,207,134,114,207
Thu Sep 7 00:31:37 2017,168,207,134,114,207
Thu Sep 7 00:31:37 2017,168,207,134,114,207
Thu Sep 7 00:35:37 2017,168,207,134,114,207
Thu Sep 7 00:35:37 2017,168,207,134,114,207
Thu Sep 7 00:39:38 2017,168,207,134,114,207
Thu Sep 7 00:39:38 2017,168,207,134,114,207
Thu Sep 7 00:43:39 2017,168,207,134,114,207
Thu Sep 7 00:43:39 2017,168,207,134,114,207
Thu Sep 7 00:47:40 2017,168,207,134,114,207
Thu Sep 7 00:47:40 2017,168,207,134,114,207
Thu Sep 7 00:51:41 2017,168,207,134,114,207
Thu Sep 7 00:51:41 2017,168,207,134,114,207
Thu Sep 7 00:55:41 2017,168,207,134,114,207
Thu Sep 7 00:55:41 2017,168,207,134,114,207
Thu Sep 7 00:59:42 2017,168,207,134,114,207
Thu Sep 7 00:59:42 2017,168,207,134,114,207
Thu Sep 7 01:03:43 2017,168,207,134,114,207
Thu Sep 7 01:03:43 2017,168,207,134,114,207
Thu Sep 7 01:07:44 2017,168,207,134,114,207
Thu Sep 7 01:07:44 2017,168,207,134,114,207
Thu Sep 7 01:11:44 2017,168,207,134,114,207
Thu Sep 7 01:11:44 2017,168,207,134,114,207
Thu Sep 7 01:15:45 2017,168,207,134,114,207
Thu Sep 7 01:15:45 2017,168,207,134,114,207
Thu Sep 7 01:19:46 2017,168,207,134,114,207
Thu Sep 7 01:19:46 2017,168,207,134,114,207
Thu Sep 7 01:23:47 2017,168,207,134,114,207
Thu Sep 7 01:23:47 2017,168,207,134,114,207
Thu Sep 7 01:27:48 2017,168,207,134,114,207
Thu Sep 7 01:27:48 2017,168,207,134,114,207
Thu Sep 7 01:31:48 2017,168,207,134,114,207
Thu Sep 7 01:31:48 2017,168,207,134,114,207
Thu Sep 7 01:35:49 2017,168,207,134,114,207
Thu Sep 7 01:35:49 2017,168,207,134,114,207
Thu Sep 7 01:39:50 2017,168,207,134,114,207
Thu Sep 7 01:39:50 2017,168,207,134,114,207
Thu Sep 7 01:43:51 2017,168,207,134,114,207
Thu Sep 7 01:43:51 2017,168,207,134,114,207
Thu Sep 7 01:47:52 2017,168,207,134,114,207
Thu Sep 7 01:47:52 2017,168,207,134,114,207
Thu Sep 7 01:51:52 2017,168,207,134,114,207
Thu Sep 7 01:51:52 2017,168,207,134,114,207
Thu Sep 7 01:55:53 2017,168,207,134,114,207
Thu Sep 7 01:55:53 2017,168,207,134,114,207
Thu Sep 7 01:59:54 2017,168,207,134,114,207
Thu Sep 7 01:59:54 2017,168,207,134,114,207
Thu Sep 7 02:03:55 2017,168,207,134,114,207
Thu Sep 7 02:03:55 2017,168,207,134,114,207
Thu Sep 7 02:07:56 2017,168,207,134,114,207
Thu Sep 7 02:07:56 2017,168,207,134,114,207
Thu Sep 7 02:11:56 2017,168,207,134,114,207
Thu Sep 7 02:11:56 2017,168,207,134,114,207
Thu Sep 7 02:15:57 2017,168,207,134,114,207
Thu Sep 7 02:15:57 2017,168,207,134,114,207
Thu Sep 7 02:19:58 2017,168,207,134,114,207
Thu Sep 7 02:19:58 2017,168,207,134,114,207
Thu Sep 7 02:23:59 2017,168,207,134,114,207
Thu Sep 7 02:23:59 2017,168,207,134,114,207
Thu Sep 7 02:28:00 2017,168,207,134,114,207
Thu Sep 7 02:28:00 2017,168,207,134,114,207
Thu Sep 7 02:32:00 2017,168,207,134,114,207
Thu Sep 7 02:32:00 2017,168,207,134,114,207
Thu Sep 7 02:36:01 2017,168,207,134,114,207
Thu Sep 7 02:36:01 2017,168,207,134,114,207
Thu Sep 7 02:40:02 2017,168,207,134,114,207
Thu Sep 7 02:40:02 2017,168,207,134,114,207
Thu Sep 7 02:44:03 2017,168,207,134,114,207
Thu Sep 7 02:44:03 2017,168,207,134,114,207
Thu Sep 7 02:48:04 2017,168,207,134,114,207
Thu Sep 7 02:48:04 2017,168,207,134,114,207
Thu Sep 7 02:52:05 2017,168,207,134,114,207
Thu Sep 7 02:52:05 2017,168,207,134,114,207
Thu Sep 7 02:56:05 2017,168,207,134,114,207
Thu Sep 7 02:56:05 2017,168,207,134,114,207
Thu Sep 7 03:00:06 2017,168,207,134,114,207
Thu Sep 7 03:00:06 2017,168,207,134,114,207
Thu Sep 7 03:04:07 2017,168,207,134,114,207
Thu Sep 7 03:04:07 2017,168,207,134,114,207
Thu Sep 7 03:08:08 2017,168,207,134,114,207
Thu Sep 7 03:08:08 2017,168,207,134,114,207
Thu Sep 7 03:12:09 2017,168,207,134,114,207
Thu Sep 7 03:12:09 2017,168,207,134,114,207
Thu Sep 7 03:16:09 2017,168,207,134,114,207
Thu Sep 7 03:16:09 2017,168,207,134,114,207
Thu Sep 7 03:20:10 2017,168,207,134,114,207
Thu Sep 7 03:20:10 2017,168,207,134,114,207
Thu Sep 7 03:24:11 2017,168,207,134,114,207
Thu Sep 7 03:24:11 2017,168,207,134,114,207
Thu Sep 7 03:28:12 2017,168,207,134,114,207
Thu Sep 7 03:28:12 2017,168,207,134,114,207
Thu Sep 7 03:32:13 2017,168,207,134,114,207
Thu Sep 7 03:32:13 2017,168,207,134,114,207
Thu Sep 7 03:36:14 2017,168,207,134,114,207
Thu Sep 7 03:36:14 2017,168,207,134,114,207
Thu Sep 7 03:40:14 2017,168,207,134,114,207
Thu Sep 7 03:40:14 2017,168,207,134,114,207
Thu Sep 7 03:44:15 2017,168,207,134,114,207
Thu Sep 7 03:44:15 2017,168,207,134,114,207
Thu Sep 7 03:48:16 2017,168,207,134,114,207
Thu Sep 7 03:48:16 2017,168,207,134,114,207
Thu Sep 7 03:52:17 2017,168,207,134,114,207
Thu Sep 7 03:52:17 2017,168,207,134,114,207
Thu Sep 7 03:56:18 2017,168,207,134,114,207
Thu Sep 7 03:56:18 2017,168,207,134,114,207
