HUMAN DATE TIME,NODE TIME(SET),NODE TIME(SET),PITCH,LAT,LON,STRUCTURE HEIGHT,MODULE LENGTH,TIMEZONE,DEGREE DELTA,PWM DUTYCYCLE(%),VOLTAGE LIMIT,CURRENT LIMIT,NIGHT STOWINGANGLE,NUMBER OF ROWS,WIND,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED,TIMESTAMP(H),TIMESTAMP(L),EXPECTED ANGLE,ANGLE DIFFERENCE,ACTUATOR CURRENT,BATTERY VOLTAGE,TILT ANGLE,LAST ACTUATION TIME,LAST ACTUATION TIME,MANUAL MODE,ALARM CODE,CLEANNING STOWING,RESERVED,RESERVED
Tue Oct 10 00:06:37 2017,23003,49589,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,49589,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,49589,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,49589,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,49589,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,49589,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:06:37 2017,23003,49589,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,49589,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,49589,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,49589,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,49589,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,49589,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:10:38 2017,23003,49830,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,49830,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,49830,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,49830,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,49830,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,49830,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:10:38 2017,23003,49830,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,49830,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,49830,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,49830,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,49830,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,49830,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:14:39 2017,23003,50071,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50071,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,50071,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50071,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50071,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50071,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:14:39 2017,23003,50071,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50071,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,50071,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50071,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50071,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50071,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:18:40 2017,23003,50312,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50312,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,50312,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50312,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50312,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,50312,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:18:40 2017,23003,50312,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50312,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,50312,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50312,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50312,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,50312,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:22:41 2017,23003,50553,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50553,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,50553,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,50553,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,50553,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50553,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:22:41 2017,23003,50553,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50553,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,50553,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,50553,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,50553,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50553,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:26:42 2017,23003,50794,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50794,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,50794,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50794,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50794,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50794,17800,20,206,2700,17780,23003,28257,0,0,0,0,240,
Tue Oct 10 00:26:42 2017,23003,50794,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,50794,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,50794,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,50794,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,50794,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,50794,17800,20,206,2700,17780,23003,28257,0,0,0,0,240,
Tue Oct 10 00:30:42 2017,23003,51034,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51034,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51034,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51034,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51034,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51034,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:30:42 2017,23003,51034,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51034,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51034,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51034,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51034,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51034,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:34:43 2017,23003,51275,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51275,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51275,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,51275,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51275,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51275,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:34:43 2017,23003,51275,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51275,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51275,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,51275,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51275,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51275,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:38:44 2017,23003,51516,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51516,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51516,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51516,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,51516,17800,50,109,2700,17750,23003,28243,0,0,0,76,152,23003,51516,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:38:44 2017,23003,51516,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51516,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51516,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51516,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,51516,17800,50,109,2700,17750,23003,28243,0,0,0,76,152,23003,51516,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:42:45 2017,23003,51757,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51757,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51757,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51757,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,51757,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51757,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:42:45 2017,23003,51757,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51757,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51757,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51757,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,51757,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,51757,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:46:46 2017,23003,51998,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51998,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51998,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51998,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51998,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,51998,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:46:46 2017,23003,51998,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,51998,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,51998,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,51998,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,51998,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,51998,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:50:47 2017,23003,52239,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52239,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52239,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,52239,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,52239,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52239,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:50:47 2017,23003,52239,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52239,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52239,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,52239,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,52239,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52239,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:54:48 2017,23003,52480,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52480,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52480,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,52480,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52480,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52480,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:54:48 2017,23003,52480,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52480,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52480,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,52480,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52480,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52480,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 00:58:49 2017,23003,52721,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52721,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,52721,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,52721,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52721,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52721,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 00:58:49 2017,23003,52721,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52721,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,52721,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,52721,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52721,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,52721,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:02:49 2017,23003,52961,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52961,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52961,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,52961,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52961,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,52961,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 01:02:49 2017,23003,52961,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,52961,17800,20,189,2700,17820,23003,28231,0,0,0,175,210,23003,52961,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,52961,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,52961,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,52961,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 01:06:50 2017,23003,53202,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53202,17800,40,189,2700,17840,23003,28231,0,0,0,175,210,23003,53202,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,53202,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53202,17800,50,109,2700,17750,23003,28243,0,0,0,76,152,23003,53202,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:06:50 2017,23003,53202,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53202,17800,40,189,2700,17840,23003,28231,0,0,0,175,210,23003,53202,17800,3550,782,2700,21350,23000,46286,0,32,0,732,837,23003,53202,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53202,17800,50,109,2700,17750,23003,28243,0,0,0,76,152,23003,53202,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:10:51 2017,23003,53443,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53443,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53443,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,53443,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,53443,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53443,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:10:51 2017,23003,53443,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53443,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53443,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,53443,17800,10,106,2700,17790,23003,28241,0,0,0,0,146,23003,53443,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53443,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:14:52 2017,23003,53684,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53684,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53684,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,53684,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53684,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53684,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:14:52 2017,23003,53684,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53684,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53684,17800,3570,782,2700,21370,23000,46286,0,32,0,732,837,23003,53684,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53684,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53684,17800,40,206,2700,17760,23003,28257,0,0,0,0,240,
Tue Oct 10 01:18:53 2017,23003,53925,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53925,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53925,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,53925,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53925,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53925,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 01:18:53 2017,23003,53925,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,53925,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,53925,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,53925,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,53925,17800,40,109,2700,17760,23003,28243,0,0,0,76,152,23003,53925,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
Tue Oct 10 01:22:54 2017,23003,54166,460,2796,7299,150,200,550,200,101,2300,780,17800,5,0,23003,54166,17800,30,189,2700,17830,23003,28231,0,0,0,175,210,23003,54166,17800,3560,782,2700,21360,23000,46286,0,32,0,732,837,23003,54166,17800,20,106,2700,17780,23003,28241,0,0,0,0,146,23003,54166,17800,30,109,2700,17770,23003,28243,0,0,0,76,152,23003,54166,17800,30,206,2700,17770,23003,28257,0,0,0,0,240,
