HUMAN DATE TIME,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT,ACTUATOR CURRENT
Tue Oct 10 00:06:37 2017,189,782,106,109,206
Tue Oct 10 00:06:37 2017,189,782,106,109,206
Tue Oct 10 00:10:38 2017,189,782,106,109,206
Tue Oct 10 00:10:38 2017,189,782,106,109,206
Tue Oct 10 00:14:39 2017,189,782,106,109,206
Tue Oct 10 00:14:39 2017,189,782,106,109,206
Tue Oct 10 00:18:40 2017,189,782,106,109,206
Tue Oct 10 00:18:40 2017,189,782,106,109,206
Tue Oct 10 00:22:41 2017,189,782,106,109,206
Tue Oct 10 00:22:41 2017,189,782,106,109,206
Tue Oct 10 00:26:42 2017,189,782,106,109,206
Tue Oct 10 00:26:42 2017,189,782,106,109,206
Tue Oct 10 00:30:42 2017,189,782,106,109,206
Tue Oct 10 00:30:42 2017,189,782,106,109,206
Tue Oct 10 00:34:43 2017,189,782,106,109,206
Tue Oct 10 00:34:43 2017,189,782,106,109,206
Tue Oct 10 00:38:44 2017,189,782,106,109,206
Tue Oct 10 00:38:44 2017,189,782,106,109,206
Tue Oct 10 00:42:45 2017,189,782,106,109,206
Tue Oct 10 00:42:45 2017,189,782,106,109,206
Tue Oct 10 00:46:46 2017,189,782,106,109,206
Tue Oct 10 00:46:46 2017,189,782,106,109,206
Tue Oct 10 00:50:47 2017,189,782,106,109,206
Tue Oct 10 00:50:47 2017,189,782,106,109,206
Tue Oct 10 00:54:48 2017,189,782,106,109,206
Tue Oct 10 00:54:48 2017,189,782,106,109,206
Tue Oct 10 00:58:49 2017,189,782,106,109,206
Tue Oct 10 00:58:49 2017,189,782,106,109,206
Tue Oct 10 01:02:49 2017,189,782,106,109,206
Tue Oct 10 01:02:49 2017,189,782,106,109,206
Tue Oct 10 01:06:50 2017,189,782,106,109,206
Tue Oct 10 01:06:50 2017,189,782,106,109,206
Tue Oct 10 01:10:51 2017,189,782,106,109,206
Tue Oct 10 01:10:51 2017,189,782,106,109,206
Tue Oct 10 01:14:52 2017,189,782,106,109,206
Tue Oct 10 01:14:52 2017,189,782,106,109,206
Tue Oct 10 01:18:53 2017,189,782,106,109,206
Tue Oct 10 01:18:53 2017,189,782,106,109,206
Tue Oct 10 01:22:54 2017,189,782,106,109,206
Tue Oct 10 01:22:54 2017,189,782,106,109,206
Tue Oct 10 01:26:55 2017,189,782,106,109,206
Tue Oct 10 01:26:55 2017,189,782,106,109,206
Tue Oct 10 01:30:56 2017,189,782,106,109,206
Tue Oct 10 01:30:56 2017,189,782,106,109,206
Tue Oct 10 01:34:57 2017,189,782,106,109,206
Tue Oct 10 01:34:57 2017,189,782,106,109,206
Tue Oct 10 01:38:58 2017,189,782,106,109,206
Tue Oct 10 01:38:58 2017,189,782,106,109,206
Tue Oct 10 01:42:59 2017,189,782,106,109,206
Tue Oct 10 01:42:59 2017,189,782,106,109,206
Tue Oct 10 01:47:00 2017,189,782,106,109,206
Tue Oct 10 01:47:00 2017,189,782,106,109,206
Mon Oct 9 05:45:58 2017,189,782,106,109,206
Mon Oct 9 05:45:58 2017,189,782,106,109,206
Mon Oct 9 05:53:58 2017,189,782,106,109,206
Mon Oct 9 05:53:58 2017,189,782,106,109,206
Mon Oct 9 06:01:58 2017,189,782,106,109,206
Mon Oct 9 06:01:58 2017,189,782,106,109,206
Mon Oct 9 06:09:58 2017,189,782,106,109,206
Mon Oct 9 06:09:58 2017,189,782,106,109,206
Mon Oct 9 06:17:58 2017,189,782,106,109,206
Mon Oct 9 06:17:58 2017,189,782,106,109,206
Mon Oct 9 06:25:58 2017,189,782,106,109,206
Mon Oct 9 06:25:58 2017,189,782,106,109,206
Mon Oct 9 06:33:58 2017,189,782,106,109,206
Mon Oct 9 06:33:58 2017,189,782,106,109,206
Mon Oct 9 06:41:58 2017,189,782,106,109,206
Mon Oct 9 06:41:58 2017,189,782,106,109,206
Mon Oct 9 06:49:58 2017,197,782,106,109,206
Mon Oct 9 06:49:58 2017,197,782,106,109,206
Mon Oct 9 06:57:58 2017,191,782,119,104,201
Mon Oct 9 06:57:58 2017,191,782,119,104,201
Mon Oct 9 07:05:58 2017,177,782,120,94,195
Mon Oct 9 07:05:58 2017,177,782,120,94,195
